Date,Open,High,Low,Close,Adj Close,Volume
2020-11-03,178.949997,179.389999,178.300003,178.919998,178.919998,7577200
2020-11-04,178.929993,179.190002,177.660004,178.820007,178.820007,11117300
2020-11-05,181.000000,183.289993,180.970001,182.929993,182.929993,16102800
2020-11-06,183.399994,183.529999,182.190002,183.190002,183.190002,10378300
2020-11-09,176.419998,176.449997,173.639999,175.080002,175.080002,29800700
2020-11-10,176.750000,176.910004,175.660004,175.660004,175.660004,11728500
2020-11-11,174.699997,175.279999,174.440002,174.899994,174.899994,9008500
2020-11-12,176.039993,176.770004,175.839996,175.960007,175.960007,7167900
2020-11-13,177.649994,177.800003,176.839996,177.160004,177.160004,6469800
2020-11-16,177.229996,177.910004,176.869995,177.149994,177.149994,8358500
2020-11-17,177.250000,177.440002,176.089996,176.500000,176.500000,8229100
2020-11-18,176.259995,176.860001,175.350006,175.490005,175.490005,7384700
2020-11-19,174.300003,175.220001,174.169998,175.160004,175.160004,6965100
2020-11-20,176.119995,176.380005,175.580002,175.690002,175.690002,6379400
2020-11-23,175.100006,175.240005,171.779999,172.229996,172.229996,15510600
2020-11-24,169.300003,169.690002,168.860001,169.589996,169.589996,19504000
2020-11-25,169.979996,170.520004,169.240005,169.509995,169.509995,10286600
2020-11-27,166.899994,167.830002,166.779999,167.789993,167.789993,10569100
2020-11-30,166.679993,167.429993,166.029999,166.669998,166.669998,13210000
2020-12-01,169.759995,170.479996,169.300003,170.179993,170.179993,13533300
2020-12-02,170.570007,171.759995,170.149994,171.460007,171.460007,9199700
2020-12-03,172.639999,172.850006,171.080002,172.809998,172.809998,10457300
2020-12-04,172.779999,173.320007,171.589996,172.320007,172.320007,10098600
2020-12-07,172.559998,175.289993,172.509995,174.889999,174.889999,10555100
2020-12-08,175.509995,175.929993,174.720001,175.500000,175.500000,6348400
2020-12-09,173.919998,174.039993,171.240005,172.500000,172.500000,10743200
2020-12-10,172.899994,173.580002,171.699997,172.169998,172.169998,6564000
2020-12-11,172.250000,173.320007,172.110001,172.490005,172.490005,6084800
2020-12-14,171.910004,172.520004,170.910004,171.539993,171.539993,7644400
2020-12-15,173.429993,173.979996,173.059998,173.940002,173.940002,6840500
2020-12-16,174.130005,175.020004,173.020004,174.899994,174.899994,8174700
2020-12-17,177.149994,177.869995,176.580002,176.740005,176.740005,9475800
2020-12-18,176.649994,176.979996,176.100006,176.440002,176.440002,6789900
2020-12-21,176.289993,176.940002,175.759995,175.880005,175.880005,8168900
2020-12-22,176.199997,176.339996,174.339996,174.490005,174.490005,9442400
2020-12-23,175.100006,176.210007,175.059998,175.649994,175.649994,6542800
2020-12-24,175.550003,176.369995,175.509995,176.350006,176.350006,3695400
2020-12-28,177.259995,177.910004,175.630005,175.710007,175.710007,7778700
2020-12-29,176.250000,176.970001,175.570007,176.350006,176.350006,5983700
2020-12-30,176.440002,177.720001,176.440002,177.699997,177.699997,5914000
2020-12-31,178.070007,178.399994,177.320007,178.360001,178.360001,7540800
2021-01-04,181.970001,182.399994,180.960007,182.330002,182.330002,14331400
2021-01-05,182.869995,183.210007,181.820007,182.869995,182.869995,12718800
2021-01-06,181.490005,181.580002,178.240005,179.899994,179.899994,18453500
2021-01-07,179.690002,179.919998,178.839996,179.479996,179.479996,7110200
2021-01-08,176.830002,176.990005,171.479996,173.339996,173.339996,24399900
2021-01-11,172.139999,173.679993,172.029999,173.000000,173.000000,8571400
2021-01-12,173.130005,174.179993,172.320007,174.119995,174.119995,9798500
2021-01-13,173.679993,174.460007,173.050003,173.369995,173.369995,14110300
2021-01-14,173.440002,174.220001,172.660004,173.279999,173.279999,13522700
2021-01-15,172.839996,173.070007,170.979996,171.130005,171.130005,16172500
2021-01-19,172.710007,172.850006,171.919998,172.580002,172.580002,7485700
2021-01-20,174.369995,175.470001,173.820007,175.389999,175.389999,9456000
2021-01-21,175.110001,175.509995,174.509995,175.279999,175.279999,7246800
2021-01-22,172.889999,174.289993,172.350006,173.899994,173.899994,7269600
2021-01-25,174.820007,174.960007,173.190002,174.050003,174.050003,5936800
2021-01-26,173.979996,174.259995,173.419998,173.619995,173.619995,4685600
2021-01-27,172.929993,173.520004,171.660004,172.520004,172.520004,9036500
2021-01-28,174.279999,174.729996,172.039993,172.679993,172.679993,9392400
2021-01-29,174.869995,175.160004,172.610001,172.610001,172.610001,11252800
2021-02-01,175.020004,175.259995,174.059998,174.229996,174.229996,9105500
2021-02-02,172.490005,172.529999,171.509995,172.110001,172.110001,7221700
2021-02-03,172.360001,172.589996,171.500000,171.850006,171.850006,4658100
2021-02-04,168.289993,168.399994,167.339996,168.149994,168.149994,13736600
2021-02-05,168.990005,170.179993,168.669998,169.809998,169.809998,6538500
2021-02-08,171.979996,172.399994,171.490005,171.520004,171.520004,6887500
2021-02-09,172.570007,173.029999,171.750000,172.080002,172.080002,5131800
2021-02-10,173.149994,173.220001,172.009995,172.710007,172.710007,6112800
2021-02-11,172.699997,172.869995,170.710007,171.210007,171.210007,5994500
2021-02-12,170.289993,171.649994,169.880005,170.690002,170.690002,6018900
2021-02-16,168.139999,170.070007,167.729996,168.240005,168.240005,14761100
2021-02-17,166.919998,167.339996,165.850006,166.330002,166.330002,11400700
2021-02-18,166.979996,167.300003,165.729996,166.320007,166.320007,7498200
2021-02-19,166.759995,167.940002,166.600006,167.009995,167.009995,8273500
2021-02-22,168.539993,169.889999,168.300003,169.509995,169.509995,10072000
2021-02-23,169.479996,169.740005,168.279999,169.119995,169.119995,8616800
2021-02-24,167.649994,169.139999,167.149994,169.000000,169.000000,8890600
2021-02-25,166.919998,167.660004,165.449997,165.820007,165.820007,16359400
2021-02-26,165.000000,165.100006,160.949997,161.809998,161.809998,23722200
2021-03-01,163.029999,163.350006,161.160004,161.529999,161.529999,13810400
2021-03-02,161.929993,162.929993,161.220001,162.410004,162.410004,11413600
2021-03-03,160.610001,161.690002,159.490005,160.619995,160.619995,13014000
2021-03-04,160.600006,161.460007,158.429993,159.039993,159.039993,13828500
2021-03-05,159.660004,159.820007,158.550003,159.139999,159.139999,12821600
2021-03-08,158.580002,158.740005,157.130005,157.490005,157.490005,11893900
2021-03-09,160.750000,161.250000,160.419998,160.839996,160.839996,10346800
2021-03-10,161.059998,161.779999,160.660004,161.660004,161.660004,7953300
2021-03-11,161.470001,161.979996,161.119995,161.520004,161.520004,6743000
2021-03-12,159.539993,161.690002,159.350006,161.490005,161.490005,8601800
2021-03-15,162.309998,162.550003,161.429993,162.199997,162.199997,8104500
2021-03-16,162.360001,163.199997,161.809998,162.350006,162.350006,7541000
2021-03-17,162.270004,164.149994,161.479996,163.509995,163.509995,12454400
2021-03-18,161.149994,162.820007,161.110001,162.559998,162.559998,8711100
2021-03-19,162.559998,163.429993,162.429993,163.240005,163.240005,6711100
